IDTime;ReadableTime;High;Low;Close;BarType;HAType;BBSignal;BBBreakoutSignal;StochMain;StochSignal;MarketMov;LabelStrategy
1274256000;2010.05.19 08:00;1.04862;1.03946;1.04844;1;1;2;0;80.52370000000001;67.23762000000001;0;0
1274270400;2010.05.19 12:00;1.0516;1.0409;1.044;2;1;2;0;91.71556;79.57708;0;0
1274284800;2010.05.19 16:00;1.0535;1.0439;1.047;1;1;2;0;93.23696;88.49207;0;0
1274299200;2010.05.19 20:00;1.048;1.0403;1.0423;2;4;2;0;88.84375;91.26542000000001;0;2
1274313600;2010.05.20 00:00;1.0475;1.042;1.0444;4;4;0;0;86.33651999999999;89.47241;0;0
1274328000;2010.05.20 04:00;1.0516;1.043;1.0508;1;1;2;0;87.61185;87.59737;0;0
1274342400;2010.05.20 08:00;1.0546;1.0481;1.05449;1;1;2;0;86.69098;86.87978;0;2
1274356800;2010.05.20 12:00;1.06725;1.05341;1.06512;1;1;2;0;90.50109999999999;88.26797999999999;0;2
1274371200;2010.05.20 16:00;1.07179;1.06294;1.06648;4;1;2;0;91.87873999999999;89.69027;0;2
1274385600;2010.05.20 20:00;1.07169;1.05959;1.07168;1;1;2;0;96.92471999999999;93.10151999999999;0;2
1274400000;2010.05.21 00:00;1.0745;1.06598;1.06735;2;1;0;0;96.84838999999999;95.21728;0;0
1274414400;2010.05.21 04:00;1.06893;1.06128;1.06467;2;4;1;0;92.63302;95.46871;0;2
1274428800;2010.05.21 08:00;1.0697;1.0613;1.06547;4;4;1;0;89.61047000000001;93.03062;0;0
1274443200;2010.05.21 12:00;1.07481;1.06212;1.06381;4;4;2;0;85.15013;89.13121;0;0
1274457600;2010.05.21 16:00;1.06544;1.05506;1.06114;2;2;1;0;78.29550999999999;84.35204;0;0
1274472000;2010.05.21 20:00;1.06337;1.05891;1.05932;4;2;1;0;68.51912;77.32159;0;0
1274659200;2010.05.24 00:00;1.06595;1.0609;1.06225;4;4;0;0;60.85587;69.2235;0;0
1274673600;2010.05.24 04:00;1.06252;1.05888;1.06069;4;4;0;0;51.94642;60.44047;0;0
1274688000;2010.05.24 08:00;1.06071;1.05328;1.05808;2;2;1;0;37.50362;50.10197;0;0
1274702400;2010.05.24 12:00;1.06294;1.0551;1.05856;4;4;1;0;23.28975;37.57993;0;0
1274716800;2010.05.24 16:00;1.06073;1.05508;1.05688;4;4;1;0;13.098;24.63045;0;0
1274731200;2010.05.24 20:00;1.06477;1.05605;1.06293;1;4;2;0;16.7207;17.70282;0;0
1274745600;2010.05.25 00:00;1.06844;1.06247;1.06701;1;1;2;0;28.82955;19.54942;0;0
1274760000;2010.05.25 04:00;1.07083;1.0668;1.07062;1;1;2;0;47.55945;31.03657;0;0
1274774400;2010.05.25 08:00;1.0829;1.06868;1.0829;1;1;0;0;73.90621;50.0984;0;0
1274788800;2010.05.25 12:00;1.08516;1.07778;1.08079;4;1;0;0;85.77719999999999;69.08095;0;0
1274803200;2010.05.25 16:00;1.08285;1.07546;1.0804;4;1;0;0;93.53058;84.40467;0;0
1274817600;2010.05.25 20:00;1.08098;1.06434;1.06607;3;2;0;0;83.24345;87.51707999999999;0;2
